epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,494.1,0.5151,0.59506,0.79561,0.99673,0.85874,0.995,0.90995,0.45856,1.55175,0.78317,0.000408605,0.000408605,0.000408605
77,500.59,0.49648,0.58216,0.79894,0.99673,0.85874,0.995,0.90995,0.45856,1.55175,0.78317,0.000405093,0.000405093,0.000405093
78,506.868,0.44702,0.56939,0.80048,0.99086,0.97456,0.995,0.91649,0.44039,1.42117,0.78229,0.000401345,0.000401345,0.000401345
79,512.742,0.47829,0.65009,0.79462,0.99086,0.97456,0.995,0.91649,0.44039,1.42117,0.78229,0.000397362,0.000397362,0.000397362
80,517.945,0.51675,0.63799,0.8199,0.99086,0.97456,0.995,0.91649,0.44039,1.42117,0.78229,0.000393143,0.000393143,0.000393143
81,522.888,0.55694,0.65636,0.80788,0.98314,1,0.995,0.92467,0.43599,1.27729,0.7823,0.000388688,0.000388688,0.000388688
82,527.996,0.52732,0.57366,0.79227,0.98314,1,0.995,0.92467,0.43599,1.27729,0.7823,0.000383997,0.000383997,0.000383997
83,533.51,0.48881,0.51449,0.80136,0.98314,1,0.995,0.92467,0.43599,1.27729,0.7823,0.000379071,0.000379071,0.000379071
84,538.911,0.50471,0.60578,0.83499,0.97983,1,0.995,0.90465,0.43446,1.21318,0.78192,0.000373909,0.000373909,0.000373909
85,543.521,0.46605,0.56594,0.79309,0.97983,1,0.995,0.90465,0.43446,1.21318,0.78192,0.000368511,0.000368511,0.000368511
86,548.288,0.48542,0.55008,0.79337,0.97983,1,0.995,0.90465,0.43446,1.21318,0.78192,0.000362877,0.000362877,0.000362877
87,553.363,0.51436,0.60415,0.82595,0.97983,1,0.995,0.90465,0.43446,1.21318,0.78192,0.000357007,0.000357007,0.000357007
88,558.105,0.53516,0.57338,0.79544,0.98039,1,0.995,0.89993,0.42278,1.14609,0.78059,0.000350902,0.000350902,0.000350902
89,563.005,0.46705,0.53162,0.78813,0.98039,1,0.995,0.89993,0.42278,1.14609,0.78059,0.00034456,0.00034456,0.00034456
90,567.819,0.41496,0.52728,0.82942,0.98039,1,0.995,0.89993,0.42278,1.14609,0.78059,0.000337984,0.000337984,0.000337984
91,572.793,0.54213,0.62061,0.8256,0.98039,1,0.995,0.89993,0.42278,1.14609,0.78059,0.000331171,0.000331171,0.000331171
92,577.952,0.44477,0.52396,0.80191,0.97198,1,0.995,0.91252,0.40372,1.0882,0.77817,0.000324122,0.000324122,0.000324122
93,582.855,0.46215,0.53721,0.78099,0.97198,1,0.995,0.91252,0.40372,1.0882,0.77817,0.000316838,0.000316838,0.000316838
94,587.692,0.42831,0.53349,0.81107,0.97198,1,0.995,0.91252,0.40372,1.0882,0.77817,0.000309318,0.000309318,0.000309318
95,592.9,0.44347,0.55363,0.79237,0.97198,1,0.995,0.91252,0.40372,1.0882,0.77817,0.000301562,0.000301562,0.000301562
96,598.641,0.49804,0.53579,0.80162,0.97067,1,0.995,0.91843,0.39132,1.02924,0.77564,0.00029357,0.00029357,0.00029357
97,604.105,0.4608,0.61293,0.79762,0.97067,1,0.995,0.91843,0.39132,1.02924,0.77564,0.000285343,0.000285343,0.000285343
98,609.547,0.48813,0.54233,0.80177,0.97067,1,0.995,0.91843,0.39132,1.02924,0.77564,0.000276879,0.000276879,0.000276879
99,615.928,0.50277,0.52874,0.79125,0.97067,1,0.995,0.91843,0.39132,1.02924,0.77564,0.00026818,0.00026818,0.00026818
100,621.134,0.51375,0.52775,0.80494,0.97564,1,0.995,0.92209,0.38394,0.96592,0.77444,0.000259246,0.000259246,0.000259246
101,625.881,0.54995,0.5505,0.79623,0.97564,1,0.995,0.92209,0.38394,0.96592,0.77444,0.000250075,0.000250075,0.000250075
102,630.676,0.47708,0.52519,0.80397,0.97564,1,0.995,0.92209,0.38394,0.96592,0.77444,0.000238286,0.000238286,0.000238286
